,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious Cases,Critical Cases,Total Test
0,World,1142294,+25651,61239,+2069,238525,842530,39689,147,0
1,USA,280367,+3206,7491,+87,12756,260120,5804,847,4129
2,Spain,124736,+5537,11744,+546,34219,78773,6416,2668,7593
3,Italy,119827,0,14681,0,19758,85388,4068,1982,10252
4,Germany,92081,+922,1299,+24,26400,64382,3936,1099,10962
5,France,82165,0,6507,0,14008,61650,6662,1259,3436
6,Iran,55743,+2560,3452,+158,19736,32555,4103,664,952
7,UK,41903,+3735,4313,+708,135,37455,163,617,2698
8,Turkey,20921,0,425,0,484,20012,1251,248,1680
9,Switzerland,20278,+672,620,+29,4846,14812,391,2343,17729
10,Belgium,18431,+1661,1283,+140,3247,13901,1245,1590,5424
11,Netherlands,16627,+904,1651,+164,250,14726,1324,970,4401
12,Canada,12549,+174,208,0,2322,10019,120,332,8021
13,Austria,11781,+257,186,+18,2507,9088,245,1308,11562
14,Portugal,10524,+638,266,+20,75,10183,251,1032,7952
15,S. Korea,10156,+94,177,+3,6325,3654,55,198,8875
16,Brazil,9216,+22,365,+2,127,8724,296,43,258
17,Israel,7589,+161,44,+4,427,7118,115,877,10443
18,Sweden,6443,+312,373,+15,205,5865,520,638,3654
19,Australia,5550,+96,30,+2,585,4935,85,218,11203
20,Norway,5519,+149,61,+2,32,5426,98,1018,19528
21,Russia,4731,+582,43,+9,333,4355,8,32,4379
22,Ireland,4273,0,120,0,25,4128,148,865,6119
23,Czechia,4194,+4,56,+3,74,4064,87,392,6926
24,Denmark,4077,+320,161,+22,1283,2633,142,704,7055
25,Chile,3737,0,22,0,427,3288,31,195,1838
26,Romania,3613,+430,141,+8,329,3143,119,188,1876
27,Poland,3503,+120,73,+2,116,3314,50,93,1926
28,Malaysia,3483,+150,57,+4,915,2511,99,108,1532
29,Ecuador,3368,0,145,0,65,3158,100,191,585
30,Philippines,3094,+76,144,+8,57,2893,1,28,50
31,India,3082,+23,86,0,229,2767,0,2,84
32,Japan,2935,0,69,0,514,2352,60,23,312
33,Pakistan,2708,+22,41,+1,130,2537,13,12,137
34,Luxembourg,2612,0,31,0,500,2081,33,4173,34287
35,Saudi Arabia,2179,+140,29,+4,420,1730,41,63,0
36,Indonesia,2092,+106,191,+10,150,1751,0,8,26
37,Thailand,2067,+89,20,+1,612,1435,23,30,339
38,Finland,1882,+267,25,+5,300,1557,72,340,5234
39,Mexico,1688,+178,60,+10,633,995,1,13,122
40,Panama,1673,0,41,0,13,1619,50,388,1700
41,Greece,1643,+30,67,+4,78,1498,92,158,2153
42,Serbia,1624,+148,44,+5,54,1526,89,186,733
43,Peru,1595,0,61,0,537,997,51,48,501
44,UAE,1505,+241,10,+1,125,1370,2,152,22244
45,South Africa,1505,0,9,0,95,1401,7,25,849
46,Dominican Republic,1488,0,68,0,16,1404,147,137,387
47,Iceland,1417,+53,4,0,396,1017,12,4152,69276
48,Argentina,1353,0,42,0,266,1045,0,30,163
49,Colombia,1267,0,25,0,55,1187,50,25,417
50,Singapore,1189,+75,6,+1,297,886,24,203,6666
51,Algeria,1171,0,105,0,62,1004,0,27,77
52,Croatia,1126,+47,12,+4,119,995,39,274,2395
53,Ukraine,1096,+24,28,+1,23,1045,16,25,115
54,Qatar,1075,0,3,0,93,979,37,373,9862
55,Estonia,1018,+57,13,+1,59,946,20,767,14392
56,Egypt,985,0,66,0,216,703,0,10,244
57,Slovenia,977,+43,22,+2,79,876,31,470,13040
58,New Zealand,950,+82,1,0,127,822,1,197,6867
59,Hong Kong,862,+17,4,0,173,685,8,115,12005
60,Morocco,858,+67,50,+2,62,746,1,23,109
61,Iraq,820,0,54,0,226,540,0,20,0
62,Lithuania,771,+75,10,+1,7,754,11,283,7852
63,Armenia,770,+34,7,0,43,720,30,260,1348
64,Moldova,752,+161,10,+2,26,716,65,186,42
65,Diamond Princess,712,0,11,0,619,82,10,0,0
66,Bahrain,688,+16,4,0,399,285,3,404,23070
67,Hungary,678,+55,32,+6,58,588,17,70,2011
68,Bosnia and Herzegovina,617,+38,19,+2,28,570,4,188,1431
69,Kazakhstan,525,+61,5,+2,36,484,6,28,17
70,Azerbaijan,521,+78,5,0,32,484,17,51,3452
71,Lebanon,520,+12,17,0,50,453,26,76,1322
72,Cameroon,509,0,8,0,17,484,0,19,0
73,Latvia,509,+16,1,0,1,507,3,270,10275
74,Bulgaria,503,+18,17,+3,34,452,26,72,81
75,Tunisia,495,0,18,0,5,472,26,42,485
76,North Macedonia,483,+53,17,+5,20,446,11,232,2362
77,Kuwait,479,+62,1,+1,93,385,17,112,0
78,Slovakia,471,+21,1,0,10,460,3,86,2497
79,Andorra,466,+27,17,+1,21,428,12,6031,0
80,Belarus,440,+89,5,+1,53,382,11,47,3386
81,Costa Rica,416,0,2,0,11,403,13,82,755
82,Cyprus,396,0,11,0,28,357,11,328,7825
83,Uruguay,386,0,4,0,86,296,13,111,1378
84,Taiwan,355,+7,5,0,50,300,0,15,1488
85,Albania,333,+29,18,+1,99,216,7,116,781
86,Réunion,321,0,0,0,40,281,3,359,0
87,Jordan,310,0,5,0,58,247,5,30,23
88,Burkina Faso,302,0,16,0,50,236,0,14,0
89,Afghanistan,299,+18,7,+1,10,282,0,8,0
90,Oman,277,+25,1,0,61,215,3,54,0
91,Cuba,269,0,6,0,15,248,8,24,295
92,Honduras,264,+42,15,0,3,246,10,27,0
93,Uzbekistan,263,+36,2,0,25,236,8,8,0
94,San Marino,251,0,32,0,26,193,13,7397,17270
95,Vietnam,240,+1,0,0,90,150,3,2,775
96,Channel Islands,232,0,5,+1,13,214,0,1334,0
97,Senegal,219,+12,2,+1,72,145,1,13,12
98,Ivory Coast,218,0,1,0,19,198,0,8,0
99,Malta,213,+11,0,0,2,211,3,482,21975
100,Nigeria,210,0,4,0,25,181,2,1,0
101,Palestine,210,+16,1,0,21,188,0,41,1481
102,Ghana,205,0,5,0,31,169,2,7,0
103,Montenegro,197,+23,2,0,1,194,4,314,1899
104,Mauritius,196,+10,7,0,0,189,1,154,0
105,Faeroe Islands,181,+2,0,0,93,88,2,3704,98234
106,Sri Lanka,162,+3,5,+1,27,130,5,8,0
107,Georgia,157,+2,1,+1,28,128,6,39,0
108,Venezuela,153,0,7,0,52,94,6,5,63
109,DRC,148,0,16,0,3,129,0,2,0
110,Kyrgyzstan,144,+14,1,0,9,134,5,22,1474
111,Martinique,143,0,3,0,27,113,18,381,0
112,Bolivia,139,+7,10,+1,1,128,3,12,51
113,Brunei,135,+1,1,0,66,68,3,309,17832
114,Guadeloupe,130,0,7,0,24,99,14,325,0
115,Mayotte,128,0,2,0,10,116,3,469,1756
116,Kenya,126,+4,4,0,4,118,2,2,41
117,Isle of Man,121,+7,1,0,0,120,0,1423,15194
118,Niger,120,0,5,0,0,115,0,5,154
119,Cambodia,114,0,0,0,50,64,1,7,345
120,Trinidad and Tobago,101,+3,6,0,1,94,0,72,516
121,Gibraltar,98,+3,0,0,52,46,0,2909,37666
122,Paraguay,96,+4,3,0,12,81,2,13,16
123,Rwanda,89,0,0,0,0,89,0,7,0
124,Liechtenstein,75,0,0,0,0,75,0,1967,23605
125,Guinea,73,0,0,0,2,71,0,6,0
126,Bangladesh,70,+9,8,+2,30,32,1,0.4,13
127,Madagascar,70,0,0,0,0,70,6,3,0
128,Monaco,64,0,1,0,3,60,2,1631,0
129,Aruba,62,0,0,0,1,61,0,581,7830
130,French Guiana,57,0,0,0,22,35,1,191,0
131,El Salvador,56,+10,3,0,0,53,4,9,0
132,Jamaica,53,0,3,0,7,43,0,18,182
133,Barbados,51,0,0,0,0,51,0,177,1329
134,Guatemala,50,0,1,0,12,37,1,3,0
135,Djibouti,50,+1,0,0,8,42,0,51,0
136,Uganda,48,0,0,0,0,48,0,1,0
137,Macao,43,+1,0,0,10,33,0,66,0
138,Mali,41,+2,3,0,1,37,0,2,0
139,Togo,41,+1,3,0,17,21,0,5,0
140,Zambia,39,0,1,0,2,36,0,2,34
141,French Polynesia,39,0,0,0,0,39,1,139,1972
142,Ethiopia,38,+3,0,0,4,34,1,0.3,11
143,Bermuda,35,0,0,0,14,21,0,562,4368
144,Cayman Islands,29,0,1,0,1,27,0,441,4032
145,Bahamas,24,0,3,0,0,21,1,61,0
146,Saint Martin,24,+2,2,+1,5,17,6,621,466
147,Guyana,23,0,4,0,0,19,0,29,106
148,Sint Maarten,23,0,4,0,6,13,0,536,1912
149,Congo,22,0,2,0,2,18,0,4,0
150,Eritrea,22,0,0,0,0,22,0,6,0
151,Gabon,21,0,1,0,1,19,0,9,0
152,Myanmar,20,0,1,0,0,19,0,0.4,0
153,Tanzania,20,0,1,0,3,16,0,0.3,0
154,Haiti,20,+2,0,0,1,19,0,2,18
155,Maldives,19,0,0,0,13,6,0,35,0
156,New Caledonia,18,0,0,0,1,17,0,63,4869
157,Libya,17,0,1,0,0,16,0,2,19
158,Syria,16,0,2,0,2,12,0,0.9,0
159,Benin,16,0,0,0,2,14,0,1,0
160,Equatorial Guinea,16,0,0,0,1,15,0,11,0
161,Antigua and Barbuda,15,0,0,0,0,15,1,153,408
162,Guinea-Bissau,15,0,0,0,0,15,0,8,0
163,Dominica,14,0,0,0,0,14,0,194,0
164,Mongolia,14,0,0,0,2,12,0,4,0
165,Namibia,14,0,0,0,3,11,0,6,118
166,Saint Lucia,13,0,0,0,1,12,0,71,0
167,Fiji,12,+5,0,0,0,12,0,13,0
168,Grenada,12,0,0,0,0,12,2,107,400
169,Curaçao,11,0,1,0,3,7,0,67,0
170,Sudan,10,0,2,0,2,6,0,0.2,0
171,Liberia,10,+3,1,+1,0,9,0,2,0
172,Suriname,10,0,1,0,0,9,0,17,0
173,Greenland,10,0,0,0,3,7,0,176,9547
174,Laos,10,0,0,0,0,10,0,1,60
175,Mozambique,10,0,0,0,0,10,0,0.3,0
176,Seychelles,10,0,0,0,0,10,0,102,0
177,MS Zaandam,9,0,2,0,0,7,0,0,0
178,Zimbabwe,9,0,1,0,0,8,0,0.6,21
179,Nepal,9,+3,0,0,1,8,0,0.3,47
180,Chad,9,+1,0,0,0,9,0,0.5,0
181,Saint Kitts and Nevis,9,0,0,0,0,9,0,169,2124
182,Eswatini,9,0,0,0,0,9,0,8,0
183,Angola,8,0,2,0,1,5,0,0.2,0
184,CAR,8,0,0,0,0,8,0,2,0
185,Cabo Verde,7,+1,1,0,0,6,0,13,0
186,Vatican City,7,0,0,0,0,7,0,8739,0
187,St. Vincent Grenadines,7,0,0,0,1,6,0,63,0
188,Somalia,7,0,0,0,1,6,0,0.4,0
189,Mauritania,6,0,1,0,2,3,0,1,0
190,Montserrat,6,0,0,0,0,6,0,1202,0
191,St. Barth,6,0,0,0,1,5,0,607,0
192,Nicaragua,5,0,1,0,0,4,0,0.8,0
193,Bhutan,5,0,0,0,2,3,0,6,0
194,Turks and Caicos,5,0,0,0,0,5,0,129,0
195,Botswana,4,0,1,0,0,3,0,2,74
196,Gambia,4,0,1,0,2,1,0,2,0
197,Belize,4,0,0,0,0,4,0,10,63
198,Malawi,4,+1,0,0,0,4,0,0.2,0
199,Anguilla,3,0,0,0,0,3,0,200,0
200,British Virgin Islands,3,0,0,0,0,3,0,99,0
201,Burundi,3,0,0,0,0,3,0,0.3,0.2
202,Caribbean Netherlands,2,0,0,0,0,2,0,76,381
203,Sierra Leone,2,0,0,0,0,2,0,0.3,0.3
204,Falkland Islands,1,0,0,0,0,1,0,287,0
205,Papua New Guinea,1,0,0,0,0,1,0,0.1,0
206,Timor-Leste,1,0,0,0,0,1,0,0.8,0
207,China,81639,+19,3326,+4,76755,1558,331,57,0
